model,target_accuracy,target_balanced_accuracy,target_precision,target_recall,target_f1,reference_accuracy,reference_balanced_accuracy,reference_precision,reference_recall,reference_f1
Logistic regression,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.7333333333333334,1.0,0.4666666666666667,0.6363636363636364
MLP,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.7333333333333334,1.0,0.4666666666666667,0.6363636363636364
Random forest,0.9333333333333333,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5
