cluster_label_name,active_day_rate,n_runs,mean_run_len,max_run_len,mean_gap_len,max_gap_len,mean_daily_kwh,p95_daily_kwh,cv_daily_kwh,active_rate_weekday,active_rate_weekend,mean_kwh_weekday,mean_kwh_weekend,winter_minus_summer,seasonality_amp,r_global,r_mid,r_summer,r_winter
RP,0.7859009922116719,16.825242718446603,25.55711456858144,165.2135922330097,7.460829327584243,32.699029126213595,15.599888,37.66599162388772,0.7315959,0.7821135175504107,0.7953696788648245,15.301441,16.346004,0.85972774,1.0215075,1.0,0.9187833,0.6528142,1.5125419
RS,0.6423723335488041,13.823529411764707,21.889117527689738,127.29411764705883,11.7109156409466,74.47058823529412,8.61148,22.895897318335134,0.9521399,0.6395927601809954,0.6493212669683258,8.434984,9.05272,-0.56376123,1.153095,1.0,1.0709568,1.210159,0.64639777
